date,sunset,season,year,week,radar,sunset_timestamp,closest_file
2007-05-25,2007-05-26 05:40:24,spring,2007,21,KRIW,1180158024,KRIW20070526_053917.gz
2007-05-26,2007-05-27 05:41:20,spring,2007,21,KRIW,1180244480,KRIW20070527_054303.gz
2007-05-27,2007-05-28 05:42:14,spring,2007,21,KRIW,1180330934,KRIW20070528_054428.gz
2007-05-28,2007-05-29 05:43:07,spring,2007,22,KRIW,1180417387,KRIW20070529_054450.gz
2007-05-29,2007-05-30 05:43:59,spring,2007,22,KRIW,1180503839,KRIW20070530_054355.gz
2007-05-30,2007-05-31 05:44:49,spring,2007,22,KRIW,1180590289,KRIW20070531_054635.gz
2007-05-31,2007-06-01 05:45:39,spring,2007,22,KRIW,1180676739,KRIW20070601_054732.gz
2007-06-01,2007-06-02 05:46:27,spring,2007,22,KRIW,1180763187,KRIW20070602_054641.gz
2007-06-02,2007-06-03 05:47:14,spring,2007,22,KRIW,1180849634,KRIW20070603_054801.gz
2007-06-03,2007-06-04 05:47:59,spring,2007,22,KRIW,1180936079,KRIW20070604_054822.gz
2007-06-04,2007-06-05 05:48:43,spring,2007,23,KRIW,1181022523,KRIW20070605_054804.gz
2007-06-05,2007-06-06 05:49:25,spring,2007,23,KRIW,1181108965,KRIW20070606_054746.gz
2007-06-06,2007-06-07 05:50:06,spring,2007,23,KRIW,1181195406,KRIW20070607_055215.gz
2007-06-07,2007-06-08 05:50:46,spring,2007,23,KRIW,1181281846,KRIW20070608_054555.gz
2007-06-08,2007-06-09 05:51:23,spring,2007,23,KRIW,1181368283,KRIW20070609_054753.gz
2007-06-09,2007-06-10 05:52:00,spring,2007,23,KRIW,1181454720,KRIW20070610_055522.gz
2007-06-10,2007-06-11 05:52:34,spring,2007,23,KRIW,1181541154,KRIW20070611_055012.gz
2007-06-11,2007-06-12 05:53:07,spring,2007,24,KRIW,1181627587,KRIW20070612_055433.gz
2007-06-12,2007-06-13 05:53:37,spring,2007,24,KRIW,1181714017,KRIW20070613_055618.gz
2007-06-13,2007-06-14 05:54:06,spring,2007,24,KRIW,1181800446,KRIW20070614_055247.gz
2007-06-14,2007-06-15 05:54:34,spring,2007,24,KRIW,1181886874,
2007-06-15,2007-06-16 05:54:59,spring,2007,24,KRIW,1181973299,
2008-03-01,2008-03-02 04:03:50,spring,2008,9,KRIW,1204430630,KRIW20080302_040540.gz
2008-03-02,2008-03-03 04:05:05,spring,2008,9,KRIW,1204517105,KRIW20080303_040555.gz
2008-03-03,2008-03-04 04:06:19,spring,2008,9,KRIW,1204603579,KRIW20080304_040331.gz
2008-03-04,2008-03-05 04:07:34,spring,2008,10,KRIW,1204690054,KRIW20080305_040507.gz
2008-03-05,2008-03-06 04:08:48,spring,2008,10,KRIW,1204776528,KRIW20080306_040829.gz
2008-03-06,2008-03-07 04:10:01,spring,2008,10,KRIW,1204863001,KRIW20080307_040606.gz
2008-03-07,2008-03-08 04:11:15,spring,2008,10,KRIW,1204949475,KRIW20080308_041328.gz
2008-03-08,2008-03-09 04:12:28,spring,2008,10,KRIW,1205035948,KRIW20080309_041103.gz
2008-03-09,2008-03-10 04:13:41,spring,2008,10,KRIW,1205122421,KRIW20080310_041830.gz
2008-03-10,2008-03-11 04:14:54,spring,2008,10,KRIW,1205208894,KRIW20080311_041601.gz
2008-03-11,2008-03-12 04:16:06,spring,2008,11,KRIW,1205295366,KRIW20080312_041336.gz
2008-03-12,2008-03-13 04:17:19,spring,2008,11,KRIW,1205381839,KRIW20080313_042020.gz
2008-03-13,2008-03-14 04:18:31,spring,2008,11,KRIW,1205468311,KRIW20080314_041745.gz
2008-03-14,2008-03-15 04:19:43,spring,2008,11,KRIW,1205554783,KRIW20080315_041842.gz
2008-03-15,2008-03-16 04:20:54,spring,2008,11,KRIW,1205641254,KRIW20080316_042301.gz
2008-03-16,2008-03-17 04:22:06,spring,2008,11,KRIW,1205727726,KRIW20080317_042445.gz
2008-03-17,2008-03-18 04:23:17,spring,2008,11,KRIW,1205814197,KRIW20080318_042223.gz
2008-03-18,2008-03-19 04:24:28,spring,2008,12,KRIW,1205900668,KRIW20080319_042856.gz
2008-03-19,2008-03-20 04:25:39,spring,2008,12,KRIW,1205987139,KRIW20080320_042537.gz
2008-03-20,2008-03-21 04:26:50,spring,2008,12,KRIW,1206073610,KRIW20080321_042723.gz
2008-03-21,2008-03-22 04:28:01,spring,2008,12,KRIW,1206160081,KRIW20080322_042604.gz
2008-03-22,2008-03-23 04:29:11,spring,2008,12,KRIW,1206246551,KRIW20080323_043219.gz
2008-03-23,2008-03-24 04:30:22,spring,2008,12,KRIW,1206333022,KRIW20080324_042855.gz
2008-03-24,2008-03-25 04:31:32,spring,2008,12,KRIW,1206419492,KRIW20080325_043439.gz
2008-03-25,2008-03-26 04:32:43,spring,2008,13,KRIW,1206505963,KRIW20080326_043034.gz
2008-03-26,2008-03-27 04:33:53,spring,2008,13,KRIW,1206592433,KRIW20080327_043617.gz
2008-03-27,2008-03-28 04:35:03,spring,2008,13,KRIW,1206678903,KRIW20080328_043316.gz
2008-03-28,2008-03-29 04:36:13,spring,2008,13,KRIW,1206765373,KRIW20080329_044014.gz
2008-03-29,2008-03-30 04:37:23,spring,2008,13,KRIW,1206851843,KRIW20080330_043654.gz
2008-03-30,2008-03-31 04:38:33,spring,2008,13,KRIW,1206938313,KRIW20080331_044318.gz
2008-03-31,2008-04-01 04:39:43,spring,2008,13,KRIW,1207024783,KRIW20080401_044014.gz
2008-04-01,2008-04-02 04:40:53,spring,2008,14,KRIW,1207111253,KRIW20080402_044237.gz
2008-04-02,2008-04-03 04:42:03,spring,2008,14,KRIW,1207197723,KRIW20080403_044435.gz
2008-04-03,2008-04-04 04:43:12,spring,2008,14,KRIW,1207284192,KRIW20080404_044153.gz
2008-04-04,2008-04-05 04:44:22,spring,2008,14,KRIW,1207370662,KRIW20080405_044819.gz
2008-04-05,2008-04-06 04:45:32,spring,2008,14,KRIW,1207457132,KRIW20080406_044321.gz
2008-04-06,2008-04-07 04:46:42,spring,2008,14,KRIW,1207543602,KRIW20080407_045047.gz
2008-04-07,2008-04-08 04:47:52,spring,2008,14,KRIW,1207630072,KRIW20080408_044527.gz
2008-04-08,2008-04-09 04:49:01,spring,2008,15,KRIW,1207716541,KRIW20080409_044631.gz
2008-04-09,2008-04-10 04:50:11,spring,2008,15,KRIW,1207803011,KRIW20080410_045247.gz
2008-04-10,2008-04-11 04:51:21,spring,2008,15,KRIW,1207889481,KRIW20080411_044908.gz
2008-04-11,2008-04-12 04:52:31,spring,2008,15,KRIW,1207975951,KRIW20080412_045243.gz
2008-04-12,2008-04-13 04:53:41,spring,2008,15,KRIW,1208062421,KRIW20080413_045623.gz
2008-04-13,2008-04-14 04:54:50,spring,2008,15,KRIW,1208148890,KRIW20080414_045303.gz
2008-04-14,2008-04-15 04:56:00,spring,2008,15,KRIW,1208235360,KRIW20080415_045615.gz
2008-04-15,2008-04-16 04:57:10,spring,2008,16,KRIW,1208321830,KRIW20080416_045848.gz
2008-04-16,2008-04-17 04:58:20,spring,2008,16,KRIW,1208408300,KRIW20080417_045640.gz
2008-04-17,2008-04-18 04:59:30,spring,2008,16,KRIW,1208494770,KRIW20080418_045516.gz
2008-04-18,2008-04-19 05:00:39,spring,2008,16,KRIW,1208581239,KRIW20080419_050113.gz
2008-04-19,2008-04-20 05:01:49,spring,2008,16,KRIW,1208667709,KRIW20080420_050622.gz
2008-04-20,2008-04-21 05:02:59,spring,2008,16,KRIW,1208754179,KRIW20080421_050306.gz
2008-04-21,2008-04-22 05:04:09,spring,2008,16,KRIW,1208840649,KRIW20080422_050048.gz
2008-04-22,2008-04-23 05:05:18,spring,2008,17,KRIW,1208927118,KRIW20080423_050751.gz
2008-04-23,2008-04-24 05:06:28,spring,2008,17,KRIW,1209013588,KRIW20080424_050808.gz
2008-04-24,2008-04-25 05:07:37,spring,2008,17,KRIW,1209100057,KRIW20080425_050748.gz
2008-04-25,2008-04-26 05:08:47,spring,2008,17,KRIW,1209186527,KRIW20080426_050838.gz
2008-04-26,2008-04-27 05:09:56,spring,2008,17,KRIW,1209272996,KRIW20080427_051404.gz
2008-04-27,2008-04-28 05:11:06,spring,2008,17,KRIW,1209359466,KRIW20080428_051100.gz
2008-04-28,2008-04-29 05:12:15,spring,2008,17,KRIW,1209445935,KRIW20080429_051600.gz
2008-04-29,2008-04-30 05:13:24,spring,2008,18,KRIW,1209532404,KRIW20080430_051250.gz
2008-04-30,2008-05-01 05:14:33,spring,2008,18,KRIW,1209618873,KRIW20080501_051424.gz
2008-05-01,2008-05-02 05:15:42,spring,2008,18,KRIW,1209705342,KRIW20080502_051802.gz
2008-05-02,2008-05-03 05:16:50,spring,2008,18,KRIW,1209791810,KRIW20080503_051605.gz
2008-05-03,2008-05-04 05:17:58,spring,2008,18,KRIW,1209878278,KRIW20080504_051317.gz
2008-05-04,2008-05-05 05:19:07,spring,2008,18,KRIW,1209964747,KRIW20080505_051836.gz
2008-05-05,2008-05-06 05:20:14,spring,2008,18,KRIW,1210051214,KRIW20080506_051826.gz
2008-05-06,2008-05-07 05:21:22,spring,2008,19,KRIW,1210137682,KRIW20080507_051642.gz
2008-05-07,2008-05-08 05:22:29,spring,2008,19,KRIW,1210224149,KRIW20080508_052124.gz
2008-05-08,2008-05-09 05:23:36,spring,2008,19,KRIW,1210310616,KRIW20080509_052210.gz
2008-05-09,2008-05-10 05:24:43,spring,2008,19,KRIW,1210397083,KRIW20080510_052204.gz
2008-05-10,2008-05-11 05:25:49,spring,2008,19,KRIW,1210483549,KRIW20080511_052829.gz
2008-05-11,2008-05-12 05:26:54,spring,2008,19,KRIW,1210570014,KRIW20080512_052303.gz
2008-05-12,2008-05-13 05:28:00,spring,2008,19,KRIW,1210656480,KRIW20080513_052923.gz
2008-05-13,2008-05-14 05:29:04,spring,2008,20,KRIW,1210742944,KRIW20080514_052709.gz
2008-05-14,2008-05-15 05:30:08,spring,2008,20,KRIW,1210829408,KRIW20080515_052824.gz
2008-05-15,2008-05-16 05:31:12,spring,2008,20,KRIW,1210915872,KRIW20080516_053353.gz
2008-05-16,2008-05-17 05:32:15,spring,2008,20,KRIW,1211002335,KRIW20080517_052854.gz
